,id,Apt_id,url,Address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
777,777,2994,https://junehomes.com/residences/boston-ma/mission-hill/1035-mission-hill/2994,mission-hill/1035-mission-hill/2994,6,3,1650,161,2023-06-01,2023-07-05,"This 161 square footage room on Boston's Mission Hill is a clean, spacious and glossy room in a 6-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
778,778,3660,https://junehomes.com/residences/boston-ma/brighton/1263-brighton/3660,brighton/1263-brighton/3660,7,2,1625,190,2023-06-15,2023-05-05,"This 190 square footage room on Boston's spaciouson is a spacious, lovely and clean room in a 7-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
779,779,1454,https://junehomes.com/residences/boston-ma/allston/534-allston/1454,allston/534-allston/1454,4,2,1650,144,2023-08-31,2023-05-12,"This 144 square footage room on Boston's Allston is a clean, spacious and functional room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
780,780,3878,https://junehomes.com/residences/boston-ma/somerville/1340-somerville/3878,somerville/1340-somerville/3878,3,1,1675,96,2023-03-05,2023-11-30,"This 96 square footage room on Boston's Somerville is a clean, charming and glossy room in a 3-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
781,781,2774,https://junehomes.com/residences/boston-ma/jfk/976-jfkumass/2774,jfk/976-jfkumass/2774,5,2,1700,90,2023-07-01,2023-06-30,"This 90 square footage room on Boston's JFK/UMass is a clean, charming and glossy room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
782,782,2770,https://junehomes.com/residences/boston-ma/jfk/976-jfkumass/2770,jfk/976-jfkumass/2770,5,2,1675,94,2023-03-01,2023-06-25,"This 94 square footage room on Boston's JFK/UMass is a clean, shiny and charming room in a 5-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
783,783,1002,https://junehomes.com/residences/boston-ma/brighton/375-brighton/1002,brighton/375-brighton/1002,6,2,1650,126,2023-06-18,2023-06-16,"This good-looking, spacious and appealing room is available."
784,784,2790,https://junehomes.com/residences/boston-ma/south-end/980-south-end/2790,south-end/980-south-end/2790,4,2,1675,119,2023-04-08,2023-03-04,"This 119 square footage room on Boston's South End is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
785,785,828,https://junehomes.com/residences/boston-ma/savin/330-uphams-corner/828,savin/330-uphams-corner/828,4,2,1675,139,2023-09-01,2023-09-30,"This clean, shiny and charming room is available."
786,786,4069,https://junehomes.com/residences/boston-ma/brighton/1403-brighton/4069,brighton/1403-brighton/4069,5,2,1675,104,2023-09-01,2023-03-30,"This 104 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
787,787,2306,https://junehomes.com/residences/boston-ma/roxbury/829-roxbury/2306,roxbury/829-roxbury/2306,4,2,1975,162,2023-05-31,2023-06-09,"This 162 square footage room on Boston's Roxbury is a clean, spacious and glossy room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
788,788,3708,https://junehomes.com/residences/boston-ma/allston/1282-allston/3708,allston/1282-allston/3708,4,2,1675,111,2023-04-05,2023-10-01,"This comfy, cute and charming room is available."
789,789,3705,https://junehomes.com/residences/boston-ma/allston/1282-allston/3705,allston/1282-allston/3705,4,2,1675,145,2023-04-12,2023-03-31,"This comfy, cute and charming room is available."
790,790,3885,https://junehomes.com/residences/boston-ma/brighton/1341-brighton/3885,brighton/1341-brighton/3885,10,2,1675,210,2023-10-31,2023-09-28,"This 210 square footage room on Boston's spaciouson is a spacious, lovely and clean room in a 10-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
791,791,1003,https://junehomes.com/residences/boston-ma/brighton/375-brighton/1003,brighton/375-brighton/1003,6,2,1675,111,2023-05-31,2023-10-02,"This good-looking, spacious and appealing room is available."
792,792,3914,https://junehomes.com/residences/boston-ma/jfk/1349-savin-hill/3914,jfk/1349-savin-hill/3914,4,1,1675,107,2023-05-26,2023-08-31,"This 107 square footage room on Boston's JFK/UMass is a spacious, cute and clean room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
793,793,2657,https://junehomes.com/residences/boston-ma/brighton/941-brighton/2657,brighton/941-brighton/2657,4,2,1675,174,2023-05-17,2023-05-20,"This 174 square footage room on Boston's Brighton is a good-looking, spacious and adorable room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
794,794,1283,https://junehomes.com/residences/boston-ma/northend/471-north-end/1283,northend/471-north-end/1283,3,1,1650,73,2023-02-02,2023-07-10,"This 73 square footage room on Boston's North End is a clean, charming and glossy room in a 3-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
795,795,3612,https://junehomes.com/residences/boston-ma/mission-hill/1251-mission-hill/3612,mission-hill/1251-mission-hill/3612,3,1,1675,136,2023-08-31,2023-06-13,"This bright, sunny and shine room is available."
796,796,3551,https://junehomes.com/residences/boston-ma/brighton/1233-brighton/3551,brighton/1233-brighton/3551,6,2,1675,309,2023-02-28,2023-10-01,"This bright, sunny and shine room is available."
797,797,2759,https://junehomes.com/residences/boston-ma/jfk/972-jfkumass/2759,jfk/972-jfkumass/2759,2,1,1675,77,2023-05-10,2023-09-30,"This 77 square footage room on Boston's JFK/UMass is a clean, charming and pretty room in a 2-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
798,798,1576,https://junehomes.com/residences/boston-ma/brighton/575-brighton/1576,brighton/575-brighton/1576,4,2,1675,133,2023-09-01,2023-09-23,"This 133 square footage room on Boston's spaciouson is a clean, spacious and pretty room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
799,799,1579,https://junehomes.com/residences/boston-ma/brighton/575-brighton/1579,brighton/575-brighton/1579,4,2,1675,155,2023-03-01,2023-07-31,"This 155 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
800,800,1572,https://junehomes.com/residences/boston-ma/brighton/574-brighton/1572,brighton/574-brighton/1572,4,2,1700,155,2023-08-29,2023-06-30,"This 155 square footage room on Boston's spaciouson is a clean, spacious and glossy room in a 4-bedroom apartment which is currently furnished, but it can be unfurnished for an additional fee."
801,801,2758,https://junehomes.com/residences/boston-ma/jfk/972-jfkumass/2758,jfk/972-jfkumass/2758,2,1,1675,154,2023-09-02,2023-08-20,"This 154 square footage room on Boston's JFK/UMass is a clean, spacious and glossy room in a 2-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
802,802,3692,https://junehomes.com/residences/boston-ma/brighton/1276-brighton/3692,brighton/1276-brighton/3692,3,2,1650,110,2023-08-01,2023-10-13,"This comfy, cute and charming room is available."
803,803,3504,https://junehomes.com/residences/boston-ma/jfk/1221-jfkumass/3504,jfk/1221-jfkumass/3504,5,1,1675,82,2023-04-15,2023-09-30,"This 82 square footage room on Boston's JFK/UMass is a cozy, clean and comfortable room in a 5-bedroom apartment which is currently furnished."
804,804,3988,https://junehomes.com/residences/boston-ma/mission-hill/1375-mission-hill/3988,mission-hill/1375-mission-hill/3988,5,2,1700,168,2023-06-10,2023-06-30,"This 168 square footage room on Boston's Mission Hill is a spacious, appealing and clean room in a 5-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
805,805,1456,https://junehomes.com/residences/boston-ma/allston/534-allston/1456,allston/534-allston/1456,4,2,1675,148,2023-05-14,2023-07-18,"This 148 square footage room on Boston's Allston is an adorable, functional and pretty room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
806,806,3101,https://junehomes.com/residences/boston-ma/jfk/1059-savin-hill/3101,jfk/1059-savin-hill/3101,4,1,1700,119,2023-09-01,2023-10-01,"This spacious, well-kept and appealing room is available."
