id,Apt_id,url,address,Beds,Bath,Price,BedArea,Availablefrom,Availabletill,Description
250,3978,https://junehomes.com/residences/boston-ma/polish-triangle-dorchester/1373-jfkumass/3978,1373-jfkumass,4,1,1500,165,2023-01-09,2023-02-08,"This 165 square footage room on Boston's JFK/UMass is a spacious, appealing and clean room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
250,3978,https://junehomes.com/residences/boston-ma/polish-triangle-dorchester/1373-jfkumass/3978,3978,4,1,1500,165,2023-01-09,2023-02-08,"This 165 square footage room on Boston's JFK/UMass is a spacious, appealing and clean room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
251,3560,https://junehomes.com/residences/boston-ma/allston/1235-allston/3560,allston,6,2,1500,135,2023-01-01,2023-01-31,"This bright, sunny and shine room is available."
251,3560,https://junehomes.com/residences/boston-ma/allston/1235-allston/3560,1235-allston,6,2,1500,135,2023-01-01,2023-01-31,"This bright, sunny and shine room is available."
251,3560,https://junehomes.com/residences/boston-ma/allston/1235-allston/3560,3560,6,2,1500,135,2023-01-01,2023-01-31,"This bright, sunny and shine room is available."
252,3160,https://junehomes.com/residences/boston-ma/jfk/1071-jfkumass/3160,jfk,6,2,1500,169,2023-01-16,2023-02-15,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
252,3160,https://junehomes.com/residences/boston-ma/jfk/1071-jfkumass/3160,1071-jfkumass,6,2,1500,169,2023-01-16,2023-02-15,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
252,3160,https://junehomes.com/residences/boston-ma/jfk/1071-jfkumass/3160,3160,6,2,1500,169,2023-01-16,2023-02-15,"This attractive, charming and flashing room is available for a short or long-term staying in this shared apartment."
253,3621,https://junehomes.com/residences/boston-ma/jfk/1254-jfkumass/3621,jfk,4,1,1525,183,2023-01-02,2023-02-01,"This 183 square footage room on Boston's JFK/UMass is a clean, spacious and modern room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
253,3621,https://junehomes.com/residences/boston-ma/jfk/1254-jfkumass/3621,1254-jfkumass,4,1,1525,183,2023-01-02,2023-02-01,"This 183 square footage room on Boston's JFK/UMass is a clean, spacious and modern room in a 4-bedroom apartment which is currently unfurnished, but it can be furnished for an additional fee."
