,id,Amenities
640,60,HVAC
641,60,Smoke-free
642,60,Hardwood floors
643,60,Microwave
644,60,Oven
645,60,Refrigerator
646,61,Street parking
647,61,Smoke-free
648,61,Guarantors allowed
649,61,Laundry in home (free)
650,61,Dine in kitchen
651,61,Radiator heating
652,61,Dishwasher
653,61,Hardwood floors
654,61,Microwave
655,61,Oven
656,61,Refrigerator
657,62,Smoke-free
658,62,Dishwasher
659,62,HVAC
660,62,WiFi (Paid)
661,62,Laundry in building (paid)
662,62,Guarantors allowed
663,62,Hardwood floors
664,62,Microwave
665,62,Oven
666,62,Refrigerator
667,63,Street parking
668,63,Smoke-free
669,63,WiFi (Paid)
670,63,Guarantors allowed
671,63,Electric heating
672,63,Laundry in building (paid)
673,63,Dishwasher
674,63,Wall-Mounted TV
675,63,Hardwood floors
676,63,Oven
677,63,Refrigerator
678,64,WiFi (Paid)
679,64,32-inch Flat-Screen TV
680,64,Smart lock
681,64,Smoke-free
682,64,Guarantors allowed
683,64,HVAC
684,64,Dishwasher
685,64,Laundry in building (paid)
686,64,Portable AC (Common space)
687,64,Hardwood floors
688,64,Oven
689,64,Refrigerator
690,65,Dining area
691,65,WiFi (Paid)
692,65,Smoke-free
693,65,Guarantors allowed
694,65,Laundry in building (paid)
695,65,Street parking
696,65,32-inch Flat-Screen TV
697,65,Radiator heating
698,65,Dishwasher
699,65,Living area
700,65,Hardwood floors
701,65,Microwave
702,65,Oven
703,65,Refrigerator
704,66,Dishwasher
705,66,32-inch Flat-Screen TV
706,66,Smoke-free
707,66,Guarantors allowed
708,66,Radiator heating
709,66,Hardwood floors
710,66,Microwave
711,66,Oven
712,66,Refrigerator
713,67,Street parking
714,67,Smoke-free
715,67,Guarantors allowed
716,67,Laundry in home (free)
717,67,Dine in kitchen
718,67,Radiator heating
719,67,Dishwasher
720,67,Hardwood floors
721,67,Microwave
722,67,Oven
723,67,Refrigerator
724,68,Street parking
725,68,Smoke-free
726,68,Guarantors allowed
727,68,Laundry in home (free)
728,68,Dine in kitchen
729,68,Radiator heating
730,68,Dishwasher
731,68,Hardwood floors
732,68,Microwave
733,68,Oven
734,68,Refrigerator
735,69,Window AC (Common space)
736,69,Guarantors allowed
737,69,Radiator heating
738,69,Street parking
739,69,Laundry in building (paid)
740,69,32-inch Flat-Screen TV
741,69,Dishwasher
742,69,Smoke-free
743,69,WiFi (Paid)
744,69,Hardwood floors
745,69,Oven
746,69,Refrigerator
747,70,Street parking
748,70,Smoke-free
749,70,WiFi (Paid)
750,70,Guarantors allowed
751,70,Laundry in home (free)
752,70,Radiator heating
753,70,Hardwood floors
754,70,Microwave
755,70,Oven
756,70,Refrigerator
757,71,Street parking
758,71,Dine in kitchen
759,71,HVAC
760,71,Smoke-free
761,71,Guarantors allowed
762,71,Hardwood floors
763,71,Oven
764,71,Refrigerator
765,72,Radiator heating
766,72,Dishwasher
767,72,Smoke-free
768,72,Guarantors allowed
769,72,Paid parking
770,72,Laundry in building (free)
771,72,Living area
772,72,Hardwood floors
773,72,Microwave
774,72,Oven
775,72,Refrigerator
776,73,Street parking
777,73,Smoke-free
778,73,WiFi (Paid)
779,73,Guarantors allowed
780,73,Laundry in home (free)
781,73,Radiator heating
782,73,Hardwood floors
783,73,Microwave
784,73,Oven
785,73,Refrigerator
786,74,Street parking
787,74,Smoke-free
788,74,Guarantors allowed
789,74,Laundry in home (free)
790,74,Dine in kitchen
791,74,Radiator heating
792,74,Dishwasher
793,74,Hardwood floors
794,74,Microwave
795,74,Oven
796,74,Refrigerator
797,75,Window AC (Common space)
798,75,WiFi (Paid)
799,75,Guarantors allowed
800,75,Paid parking
801,75,Laundry in home (free)
802,75,Dishwasher
803,75,HVAC
804,75,Smoke-free
805,75,Hardwood floors
806,75,Microwave
807,75,Oven
808,75,Refrigerator
809,76,Central AC (Common space)
810,76,Smoke-free
811,76,WiFi (Paid)
812,76,Guarantors allowed
813,76,Paid parking
814,76,Decorative fireplace
815,76,32-inch Flat-Screen TV
816,76,Dishwasher
817,76,HVAC
818,76,Laundry in building (free)
819,76,Hardwood floors
820,76,Oven
821,76,Refrigerator
822,77,32-inch Flat-Screen TV
823,77,Radiator heating
824,77,Dishwasher
825,77,Smoke-free
826,77,WiFi (Paid)
827,77,Guarantors allowed
828,77,Laundry in home (free)
829,77,Outdoor space
830,77,Living area
831,77,Mini Split (Common space)
832,77,Hardwood floors
833,77,Microwave
834,77,Oven
835,77,Refrigerator
836,78,Central AC (Common space)
837,78,Guarantors allowed
838,78,Laundry in building (paid)
839,78,Central heating
840,78,32-inch Flat-Screen TV
841,78,Dishwasher
842,78,Smoke-free
843,78,WiFi (Paid)
844,78,Hardwood floors
845,78,Oven
846,78,Refrigerator
847,79,Street parking
848,79,WiFi (Paid)
849,79,Guarantors allowed
850,79,Laundry in building (paid)
851,79,Dishwasher
852,79,Electric heating
853,79,Smoke-free
854,79,Hardwood floors
855,79,Oven
856,79,Refrigerator
857,80,Window AC (Common space)
858,80,Guarantors allowed
859,80,Radiator heating
860,80,Street parking
861,80,Laundry in building (paid)
862,80,32-inch Flat-Screen TV
863,80,Dishwasher
864,80,Smoke-free
865,80,WiFi (Paid)
866,80,Hardwood floors
867,80,Oven
868,80,Refrigerator
869,81,Dishwasher
870,81,Dine in kitchen
871,81,HVAC
872,81,Smoke-free
873,81,Guarantors allowed
874,81,Laundry in building (paid)
875,81,Paid parking
876,81,Hardwood floors
877,81,Microwave
878,81,Oven
879,81,Refrigerator
880,82,Smoke-free
881,82,Dine in kitchen
882,82,HVAC
883,82,WiFi (Paid)
884,82,Laundry in building (paid)
885,82,Guarantors allowed
886,82,Hardwood floors
887,82,Microwave
888,82,Oven
889,82,Refrigerator
890,83,Dining area
891,83,Laundry in building (paid)
892,83,Smoke-free
893,83,WiFi (Paid)
894,83,Guarantors allowed
895,83,HVAC
896,83,Hardwood floors
897,83,Microwave
898,83,Oven
899,83,Refrigerator
900,84,Dishwasher
901,84,Smart lock
902,84,32-inch Flat-Screen TV
903,84,Laundry in building (paid)
904,84,Guarantors allowed
905,84,WiFi (Paid)
906,84,Window AC (Common space)
907,84,Radiator heating
908,84,Smoke-free
909,84,Dine in kitchen
910,84,Back porch
911,84,Driveway parking (paid)
912,84,Hardwood floors
913,84,Oven
914,84,Refrigerator
915,85,Street parking
916,85,WiFi (Paid)
917,85,Guarantors allowed
918,85,Electric heating
919,85,Laundry in building (paid)
920,85,Dishwasher
921,85,Smoke-free
922,85,Wall-Mounted TV
923,85,Hardwood floors
924,85,Oven
925,85,Refrigerator
926,86,WiFi (Paid)
927,86,Dishwasher
928,86,Smart lock
929,86,Smoke-free
930,86,Guarantors allowed
931,86,Laundry in building (paid)
932,86,HVAC
933,86,Wall-Mounted TV
934,86,Hardwood floors
935,86,Oven
936,86,Refrigerator
937,87,Street parking
938,87,Smoke-free
939,87,WiFi (Paid)
940,87,Guarantors allowed
941,87,Laundry in building (paid)
942,87,Radiator heating
943,87,Dishwasher
944,87,Hardwood floors
945,87,Microwave
946,87,Oven
947,87,Refrigerator
948,88,WiFi (Paid)
949,88,Dishwasher
950,88,HVAC
951,88,Guarantors allowed
952,88,Street parking
953,88,Laundry in home (free)
954,88,Smoke-free
955,88,Hardwood floors
956,88,Microwave
957,88,Oven
958,88,Refrigerator
959,89,Paid parking
960,89,Electric heating
961,89,Smoke-free
962,89,WiFi (Paid)
963,89,Guarantors allowed
964,89,Laundry in building (paid)
965,89,Hardwood floors
966,89,Microwave
967,89,Oven
968,89,Refrigerator
969,90,Smoke-free
970,90,Street parking
971,90,Laundry in building (paid)
972,90,Guarantors allowed
973,90,Dishwasher
974,90,WiFi (Paid)
975,90,HVAC
976,90,Wall-Mounted TV
977,90,Hardwood floors
978,90,Oven
979,90,Refrigerator
980,91,WiFi (Paid)
981,91,Smoke-free
982,91,Guarantors allowed
983,91,Gas heating
984,91,Street parking
985,91,Balcony
986,91,Wall-Mounted TV
987,91,Hardwood floors
988,91,Microwave
989,91,Oven
990,91,Refrigerator
991,92,Dishwasher
992,92,Dine in kitchen
993,92,HVAC
994,92,Smoke-free
995,92,Guarantors allowed
996,92,Laundry in building (paid)
997,92,Paid parking
998,92,Hardwood floors
999,92,Microwave
1000,92,Oven
1001,92,Refrigerator
1002,93,Smoke-free
1003,93,Dine in kitchen
1004,93,HVAC
1005,93,WiFi (Paid)
1006,93,Paid parking
1007,93,Laundry in building (paid)
1008,93,Guarantors allowed
1009,93,Hardwood floors
1010,93,Microwave
1011,93,Oven
1012,93,Refrigerator
1013,94,Laundry in home (free)
1014,94,Smoke-free
1015,94,WiFi (Paid)
1016,94,Paid parking
1017,94,Window AC (Common space)
1018,94,HVAC
1019,94,Hardwood floors
1020,94,Microwave
1021,94,Oven
1022,94,Refrigerator
1023,95,Dishwasher
1024,95,Dine in kitchen
1025,95,HVAC
1026,95,Smoke-free
1027,95,Guarantors allowed
1028,95,Laundry in building (paid)
1029,95,Paid parking
1030,95,Hardwood floors
1031,95,Microwave
1032,95,Oven
1033,95,Refrigerator
1034,96,Dishwasher
1035,96,Dine in kitchen
1036,96,HVAC
1037,96,Smoke-free
1038,96,Guarantors allowed
1039,96,Laundry in building (paid)
1040,96,Paid parking
1041,96,Hardwood floors
1042,96,Microwave
1043,96,Oven
1044,96,Refrigerator
1045,97,Street parking
1046,97,Dine in kitchen
1047,97,HVAC
1048,97,Smoke-free
1049,97,Guarantors allowed
1050,97,Hardwood floors
1051,97,Oven
1052,97,Refrigerator
1053,98,HVAC
1054,98,Guarantors allowed
1055,98,Laundry in home (free)
1056,98,Street parking
1057,98,Dishwasher
1058,98,Smoke-free
1059,98,Hardwood floors
1060,98,Oven
1061,98,Refrigerator
1062,99,Smoke-free
1063,99,Window AC (Common space)
1064,99,Dine in kitchen
1065,99,Gas heating
1066,99,32-inch Flat-Screen TV
1067,99,WiFi (Paid)
1068,99,Laundry in home (free)
1069,99,Living area
1070,99,Parking Spot (Paid)
1071,99,Hardwood floors
1072,99,Microwave
1073,99,Oven
1074,99,Refrigerator
1075,100,HVAC
1076,100,Guarantors allowed
1077,100,Laundry in home (free)
1078,100,Street parking
1079,100,Dishwasher
1080,100,Smoke-free
1081,100,Hardwood floors
1082,100,Oven
1083,100,Refrigerator
1084,101,Dishwasher
1085,101,Dine in kitchen
1086,101,HVAC
1087,101,Smoke-free
1088,101,Guarantors allowed
1089,101,Laundry in building (paid)
1090,101,Paid parking
1091,101,Hardwood floors
1092,101,Microwave
1093,101,Oven
1094,101,Refrigerator
1095,102,WiFi (Paid)
1096,102,Dishwasher
1097,102,Smart lock
1098,102,Smoke-free
1099,102,Guarantors allowed
1100,102,Laundry in building (paid)
1101,102,HVAC
1102,102,Wall-Mounted TV
1103,102,Hardwood floors
1104,102,Oven
1105,102,Refrigerator
1106,103,Street parking
1107,103,HVAC
1108,103,Smoke-free
1109,103,WiFi (Paid)
1110,103,Guarantors allowed
1111,103,Laundry in home (free)
1112,103,Hardwood floors
1113,103,Microwave
1114,103,Oven
1115,103,Refrigerator
1116,104,Dishwasher
1117,104,Dine in kitchen
1118,104,HVAC
1119,104,Smoke-free
1120,104,Guarantors allowed
1121,104,Laundry in building (paid)
1122,104,Paid parking
1123,104,Hardwood floors
1124,104,Microwave
1125,104,Oven
1126,104,Refrigerator
1127,105,Street parking
1128,105,Dine in kitchen
1129,105,HVAC
1130,105,Smoke-free
1131,105,Guarantors allowed
1132,105,Hardwood floors
1133,105,Oven
1134,105,Refrigerator
1135,106,32-inch Flat-Screen TV
1136,106,Dine in kitchen
1137,106,Patio
1138,106,Gas heating
1139,106,Smoke-free
1140,106,Laundry in home (free)
1141,106,Guarantors allowed
1142,106,Common area
1143,106,Window AC (Common space)
1144,106,Street parking
1145,106,Dishwasher
1146,106,WiFi (Paid)
1147,106,Smart lock
1148,106,Hardwood floors
1149,106,Oven
1150,106,Refrigerator
1151,107,Paid parking
1152,107,Smoke-free
1153,107,WiFi (Paid)
1154,107,Guarantors allowed
1155,107,Dishwasher
1156,107,Electric heating
1157,107,32-inch Flat-Screen TV
1158,107,Hardwood floors
1159,107,Oven
1160,107,Refrigerator
1161,108,Window AC (Common space)
1162,108,WiFi (Paid)
1163,108,Guarantors allowed
1164,108,Paid parking
1165,108,Laundry in home (free)
1166,108,HVAC
1167,108,Smoke-free
1168,108,Hardwood floors
1169,108,Microwave
1170,108,Oven
1171,108,Refrigerator
1172,109,Window AC (Common space)
1173,109,WiFi (Paid)
1174,109,Guarantors allowed
1175,109,Paid parking
1176,109,Laundry in home (free)
1177,109,HVAC
1178,109,Smoke-free
1179,109,Hardwood floors
1180,109,Microwave
1181,109,Oven
1182,109,Refrigerator
1183,110,Smoke-free
1184,110,Paid parking
1185,110,Dishwasher
1186,110,HVAC
1187,110,Dining area
1188,110,32-inch Flat-Screen TV
1189,110,Laundry in home (free)
1190,110,Guarantors allowed
1191,110,Balcony
1192,110,Living area
1193,110,Hardwood floors
1194,110,Microwave
1195,110,Oven
1196,110,Refrigerator
1197,111,Street parking
1198,111,Smoke-free
1199,111,WiFi (Paid)
1200,111,Guarantors allowed
1201,111,Laundry in building (paid)
1202,111,Electric heating
1203,111,Dishwasher
1204,111,Wall-Mounted TV
1205,111,Hardwood floors
1206,111,Oven
1207,111,Refrigerator
