id,Amenities
96,Smoke-free
96,"Guarantors allowed"
96,"Laundry in building (paid)"
96,"Paid parking"
96,"Hardwood floors"
96,Microwave
96,Oven
96,Refrigerator
97,"Street parking"
97,"Dine in kitchen"
97,HVAC
97,Smoke-free
97,"Guarantors allowed"
97,"Hardwood floors"
97,Oven
97,Refrigerator
98,HVAC
98,"Guarantors allowed"
98,"Laundry in home (free)"
98,"Street parking"
98,Dishwasher
98,Smoke-free
98,"Hardwood floors"
98,Oven
98,Refrigerator
99,Smoke-free
99,"Window AC (Common space)"
99,"Dine in kitchen"
99,"Gas heating"
99,"32-inch Flat-Screen TV"
99,"WiFi (Paid)"
99,"Laundry in home (free)"
99,"Living area"
99,"Parking Spot (Paid)"
99,"Hardwood floors"
99,Microwave
99,Oven
99,Refrigerator
100,HVAC
100,"Guarantors allowed"
100,"Laundry in home (free)"
100,"Street parking"
100,Dishwasher
100,Smoke-free
100,"Hardwood floors"
100,Oven
100,Refrigerator
101,Dishwasher
101,"Dine in kitchen"
101,HVAC
101,Smoke-free
101,"Guarantors allowed"
101,"Laundry in building (paid)"
101,"Paid parking"
101,"Hardwood floors"
101,Microwave
101,Oven
101,Refrigerator
102,"WiFi (Paid)"
102,Dishwasher
102,"Smart lock"
102,Smoke-free
102,"Guarantors allowed"
102,"Laundry in building (paid)"
102,HVAC
102,"Wall-Mounted TV"
102,"Hardwood floors"
102,Oven
102,Refrigerator
103,"Street parking"
103,HVAC
103,Smoke-free
103,"WiFi (Paid)"
103,"Guarantors allowed"
103,"Laundry in home (free)"
103,"Hardwood floors"
103,Microwave
103,Oven
103,Refrigerator
104,Dishwasher
104,"Dine in kitchen"
104,HVAC
104,Smoke-free
104,"Guarantors allowed"
104,"Laundry in building (paid)"
104,"Paid parking"
104,"Hardwood floors"
104,Microwave
104,Oven
104,Refrigerator
105,"Street parking"
105,"Dine in kitchen"
105,HVAC
105,Smoke-free
105,"Guarantors allowed"
105,"Hardwood floors"
105,Oven
105,Refrigerator
106,"32-inch Flat-Screen TV"
106,"Dine in kitchen"
106,Patio
106,"Gas heating"
106,Smoke-free
106,"Laundry in home (free)"
106,"Guarantors allowed"
106,"Common area"
106,"Window AC (Common space)"
106,"Street parking"
106,Dishwasher
106,"WiFi (Paid)"
106,"Smart lock"
106,"Hardwood floors"
106,Oven
106,Refrigerator
107,"Paid parking"
107,Smoke-free
107,"WiFi (Paid)"
107,"Guarantors allowed"
107,Dishwasher
107,"Electric heating"
107,"32-inch Flat-Screen TV"
107,"Hardwood floors"
107,Oven
107,Refrigerator
108,"Window AC (Common space)"
108,"WiFi (Paid)"
108,"Guarantors allowed"
108,"Paid parking"
108,"Laundry in home (free)"
108,HVAC
108,Smoke-free
108,"Hardwood floors"
108,Microwave
108,Oven
108,Refrigerator
109,"Window AC (Common space)"
109,"WiFi (Paid)"
109,"Guarantors allowed"
109,"Paid parking"
109,"Laundry in home (free)"
109,HVAC
109,Smoke-free
109,"Hardwood floors"
109,Microwave
109,Oven
109,Refrigerator
110,Smoke-free
110,"Paid parking"
110,Dishwasher
110,HVAC
110,"Dining area"
110,"32-inch Flat-Screen TV"
110,"Laundry in home (free)"
110,"Guarantors allowed"
110,Balcony
110,"Living area"
110,"Hardwood floors"
110,Microwave
110,Oven
110,Refrigerator
111,"Street parking"
111,Smoke-free
111,"WiFi (Paid)"
111,"Guarantors allowed"
111,"Laundry in building (paid)"
111,"Electric heating"
111,Dishwasher
111,"Wall-Mounted TV"
111,"Hardwood floors"
111,Oven
111,Refrigerator
112,"Laundry in building (paid)"
112,"WiFi (Paid)"
112,"Guarantors allowed"
112,HVAC
112,Dishwasher
112,Smoke-free
112,"Hardwood floors"
112,Oven
112,Refrigerator
113,"Street parking"
113,"Dine in kitchen"
113,HVAC
113,Smoke-free
113,"Guarantors allowed"
113,"Hardwood floors"
113,Oven
113,Refrigerator
114,"Paid parking"
114,Smoke-free
114,"WiFi (Paid)"
114,"Guarantors allowed"
114,"Laundry in home (free)"
114,HVAC
114,"Hardwood floors"
114,Microwave
114,Oven
114,Refrigerator
115,Dishwasher
115,"32-inch Flat-Screen TV"
115,Smoke-free
115,"Guarantors allowed"
115,"Radiator heating"
115,"Hardwood floors"
115,Microwave
115,Oven
115,Refrigerator
116,Dishwasher
116,HVAC
116,Smoke-free
116,"Guarantors allowed"
116,"Laundry in home (free)"
116,"Street parking"
116,"Hardwood floors"
116,Microwave
116,Oven
116,Refrigerator
117,"Street parking"
117,"WiFi (Paid)"
117,"Guarantors allowed"
117,"Radiator heating"
117,"Laundry in building (paid)"
117,"32-inch Flat-Screen TV"
117,Dishwasher
117,Smoke-free
117,"Hardwood floors"
117,Oven
117,Refrigerator
118,Smoke-free
118,"Paid parking"
118,Dishwasher
118,HVAC
118,"Dining area"
118,"32-inch Flat-Screen TV"
118,"Laundry in home (free)"
118,"Guarantors allowed"
118,Balcony
118,"Living area"
118,"Hardwood floors"
118,Microwave
118,Oven
118,Refrigerator
119,"Window AC (Common space)"
119,"WiFi (Paid)"
119,"Guarantors allowed"
119,"Paid parking"
119,"Laundry in home (free)"
119,HVAC
119,Smoke-free
119,"Hardwood floors"
119,Microwave
119,Oven
119,Refrigerator
120,"Central AC (Common space)"
120,"WiFi (Paid)"
120,"Guarantors allowed"
120,"Street parking"
120,"Laundry in home (free)"
120,HVAC
120,"32-inch Flat-Screen TV"
120,Dishwasher
120,Smoke-free
120,"Hardwood floors"
120,Oven
120,Refrigerator
121,Dishwasher
121,"32-inch Flat-Screen TV"
121,Smoke-free
121,"Guarantors allowed"
121,"Radiator heating"
121,"Hardwood floors"
121,Microwave
121,Oven
121,Refrigerator
122,"32-inch Flat-Screen TV"
122,"Dine in kitchen"
122,"Electric heating"
122,Smoke-free
122,"Guarantors allowed"
122,"Laundry in home (free)"
122,"Living area"
122,"Hardwood floors"
122,Microwave
122,Oven
122,Refrigerator
123,"Window AC (Common space)"
123,"WiFi (Paid)"
123,"Guarantors allowed"
123,"Paid parking"
123,"Laundry in home (free)"
123,Dishwasher
123,HVAC
123,Smoke-free
