id,Trans_id,stations,walktime,description
96,3,94,10,Davis
96,3,96,10,Davis
97,0,"Fairmount Line ",5,"Uphams Corner"
97,1,"Kingston Line ",15,"JFK / UMass"
97,2,"Greenbush Line ",15,"JFK / UMass"
97,3,"Red line ",15,"JFK / UMass"
97,4,16,5,"Columbia Rd @ Holden St"
97,4,17,5,"Columbia Rd @ Holden St"
97,4,41,5,"Columbia Rd @ Holden St"
98,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",15,"JFK / UMass"
98,1,"Red Line ",15,"JFK / UMass"
98,2,8,15,"JFK / UMass"
98,2,16,15,"JFK / UMass"
98,2,41,15,"JFK / UMass"
98,2,Red,15,"JFK / UMass"
98,2,Line,15,"JFK / UMass"
98,2,Shuttle,15,"JFK / UMass"
98,3,17,3,"Columbia Rd @ Holden St"
99,0,"Red Line ",6,"JFK / UMass"
99,1,"Kingston/Greenbush ",6,"JFK / UMass"
99,2,"Middleborough/Lakeville ",6,"JFK / UMass"
99,3,8,2,"Columbia Rd @ Buttonwood St"
99,3,41,2,"Columbia Rd @ Buttonwood St"
100,0,"Greenbush Line Kingston Line Middleborough/Lakeville Line ",15,"JFK / UMass"
100,1,"Red Line ",15,"JFK / UMass"
100,2,8,15,"JFK / UMass"
100,2,16,15,"JFK / UMass"
100,2,41,15,"JFK / UMass"
100,2,Red,15,"JFK / UMass"
100,2,Line,15,"JFK / UMass"
100,2,Shuttle,15,"JFK / UMass"
100,3,17,3,"Columbia Rd @ Holden St"
101,0,"Red Line ",8,Porter
101,1,88,2,"Highland Ave @ Willow Ave"
101,1,89,2,"Highland Ave @ Willow Ave"
101,2,"Fitchburg Line ",8,Porter
101,3,87,10,Davis
101,3,88,10,Davis
101,3,89,10,Davis
101,3,90,10,Davis
101,3,94,10,Davis
101,3,96,10,Davis
102,0,"B ",8,"Harvard Avenue"
102,1,64,1,"Cambridge Street"
102,1,66,1,"Cambridge Street"
102,1,501,1,"Cambridge Street"
103,0,"Red Line ",10,"JFK / UMass"
103,1,"Kingston/Greenbush ",10,"JFK / UMass"
103,2,"Middleborough/Lakeville ",10,"JFK / UMass"
103,3,8,10,"JFK / UMass"
103,3,16,10,"JFK / UMass"
103,3,41,10,"JFK / UMass"
104,0,"Red Line ",8,Porter
104,1,88,2,"Highland Ave @ Willow Ave"
104,1,89,2,"Highland Ave @ Willow Ave"
104,2,"Fitchburg Line ",8,Porter
104,3,87,10,Davis
104,3,88,10,Davis
104,3,89,10,Davis
104,3,90,10,Davis
104,3,94,10,Davis
104,3,96,10,Davis
105,0,"Fairmount Line ",5,"Uphams Corner"
105,1,"Kingston Line ",15,"JFK / UMass"
